RecordNo,endtime,gender,state,i1_health,i2_health,i7a_health,i9_health,i10_health,i11_health,i13_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,age,household_size,employment_status,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex2,WCRV_4,CORE_B2_4,WCRex1,within_mandate_period,face_mask_behaviour_scale,face_mask_behaviour_binary,non_mask_protective_behaviour_scale,non_mask_protective_behaviour_binary,overall_protective_behaviour_scale,overall_protective_behaviour_binary,d1_comorbidities,week_number
0,2020-04-02 15:18:00,Female,Rio de Janeiro,4,0,0,Yes,Somewhat easy,Very willing,5,"No, I have not","No, they have not",Yes,No,No,No,No,No,29,5.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3.0,0.0,5.0,1.0,5.0,1.0,Yes,1
1,2020-04-02 15:20:00,Female,Sao Paulo,1,0,0,Yes,Very easy,Very willing,20,"No, I have not","No, they have not",No,No,No,No,No,Yes,60,2.0,Retired,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1.0,0.0,5.0,1.0,5.0,1.0,No,1
2,2020-04-02 15:22:00,Female,Goias,1,3,3,Yes,Very easy,Very willing,20,"No, I have not","No, they have not",No,No,No,No,No,Yes,21,2.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,4.0,1.0,5.0,1.0,5.0,1.0,No,1
3,2020-04-02 15:23:00,Male,Rio de Janeiro,2,0,0,Yes,Somewhat difficult,Very willing,15,"No, I have not","No, they have not",No,No,No,No,No,Yes,62,3.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3.0,0.0,5.0,1.0,5.0,1.0,No,1
4,2020-04-02 15:25:00,Female,Rio de Janeiro,2,1,1,Yes,Somewhat easy,Very willing,20,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes,26,5.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,4.0,1.0,5.0,1.0,5.0,1.0,Prefer_not_to_say,1
5,2020-04-02 15:38:00,Male,Minas Gerais,1,5,0,Yes,Very easy,Very willing,5,"No, I have not",Not sure,No,No,No,No,No,Yes,28,2.0,Unemployed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1.0,0.0,5.0,1.0,5.0,1.0,Yes,1
6,2020-04-02 15:38:00,Male,Bahia,4,30,3,Not sure,Very difficult,Very unwilling,5,"No, I have not","No, they have not",Yes,No,No,Yes,No,No,40,5.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,4.0,1.0,3.0,0.0,3.5,0.0,No,1
7,2020-04-02 15:39:00,Female,Distrito Federal,2,0,0,Yes,Somewhat difficult,Very willing,3,"No, I have not","No, they have not",No,No,No,No,No,Yes,51,3.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3.0,0.0,5.0,1.0,5.0,1.0,No,1
8,2020-04-02 15:55:00,Female,Sao Paulo,2,100,2,Yes,Very difficult,Very willing,5,"No, I have not","No, they have not",Yes,No,Yes,No,Yes,No,22,2.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1.0,0.0,4.0,1.0,4.0,1.0,No,1
9,2020-04-02 15:55:00,Female,Parana,2,0,1,Yes,Somewhat easy,Very willing,10,"No, I have not","No, they have not",No,No,No,No,No,Yes,49,2.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1.0,0.0,5.0,1.0,5.0,1.0,Yes,1
10,2020-04-02 16:02:00,Male,Ceara,3,1,0,No,Very difficult,Very unwilling,2,"No, I have not","No, they have not",No,No,No,No,No,Yes,35,2.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1.0,0.0,1.0,0.0,1.0,0.0,No,1
11,2020-04-02 16:05:00,Female,Amazonas,7,0,0,Yes,Very easy,Very willing,10,"No, I have not","No, they have not",No,No,No,No,No,Yes,39,6.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,4.0,1.0,5.0,1.0,5.0,1.0,No,1
12,2020-04-02 16:11:00,Male,Piaui,3,2,0,Yes,Very easy,Very willing,6,"No, I have not","No, they have not",No,No,No,No,No,Yes,31,4.0,Part time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,5.0,1.0,5.0,1.0,5.0,1.0,No,1
13,2020-04-02 16:14:00,Male,Para,1,0,0,Yes,Somewhat difficult,Neither willing nor unwilling,6,"No, I have not","No, they have not",No,No,No,No,No,Yes,18,3.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,5.0,1.0,5.0,1.0,5.0,1.0,N/A,1
14,2020-04-02 16:19:00,Female,Paraiba,2,2,3,No,Very easy,Very willing,15,"No, I have not","No, they have not",No,No,No,No,No,Yes,31,1.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,5.0,1.0,5.0,1.0,5.0,1.0,No,1
15,2020-04-02 16:37:00,Male,Sao Paulo,2,15,1,Yes,Somewhat difficult,Somewhat willing,4,"No, I have not","No, they have not",No,No,No,No,No,Yes,29,3.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1.0,0.0,5.0,1.0,5.0,1.0,Yes,1
16,2020-04-02 16:39:00,Male,Pernambuco,1,0,0,No,Not sure,Very willing,20,"No, I have not","No, they have not",No,No,No,No,No,Yes,75,2.0,Retired,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,4.0,1.0,5.0,1.0,5.0,1.0,Yes,1
17,2020-04-02 16:39:00,Female,Mato Grosso do Sul,2,0,0,Yes,Somewhat easy,Very willing,20,"No, I have not","No, they have not",No,No,No,No,No,Yes,26,2.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,5.0,1.0,5.0,1.0,5.0,1.0,Yes,1
18,2020-04-02 16:45:00,Male,Rio Grande do Norte,3,2,1,Yes,Very difficult,Somewhat willing,8,"No, I have not","No, they have not",No,No,No,No,No,Yes,40,4.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2.0,0.0,5.0,1.0,5.0,1.0,No,1
19,2020-04-02 16:52:00,Male,Distrito Federal,2,0,1,Yes,Somewhat easy,Very willing,10,"No, I have not","No, they have not",No,No,No,No,No,Yes,45,3.0,Full time employment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1.0,0.0,5.0,1.0,5.0,1.0,No,1
