RecordNo,endtime,state,i2_health,i7a_health,i9_health,i10_health,i11_health,i13_health,gender,age,household_size,employment_status,WCRex2,WCRex1,r1_1,r1_2,r1_6,r1_7,within_mandate_period,face_mask_behaviour_scale,face_mask_behaviour_binary,non_mask_protective_behaviour_scale,non_mask_protective_behaviour_binary,overall_protective_behaviour_scale,overall_protective_behaviour_binary,d1_comorbidities,week_number
9947,2020-06-24 14:17:00,Illinois,4,0.0,No,Very easy,Very willing,3.0,Female,54,1.0,Full time employment,A lot of confidence,Somewhat well,3.0,4.0,4.0,1.0,0,5.0,1.0,3.0,0.0,3.0,0.0,Yes,1
9948,2020-06-24 14:18:00,Colorado,12,1.0,Yes,Somewhat easy,Very willing,8.0,Male,40,2.0,Full time employment,No confidence at all,Very badly,6.0,5.0,7.0,6.0,0,5.0,1.0,4.0,1.0,4.0,1.0,Yes,1
9949,2020-06-24 14:21:00,Virginia,0,1.0,Yes,Very easy,Very willing,10.0,Female,64,2.0,Full time employment,Not very much confidence,Very badly,7.0,1.0,7.0,2.0,0,5.0,1.0,5.0,1.0,5.0,1.0,Yes,1
9950,2020-06-24 14:21:00,Colorado,5,2.0,Yes,Very easy,Very willing,6.0,Male,36,3.0,Full time employment,Not very much confidence,Very badly,4.0,5.0,5.0,7.0,0,5.0,1.0,5.0,1.0,5.0,1.0,Prefer_not_to_say,1
9951,2020-06-24 14:22:00,Iowa,0,0.0,Yes,Very easy,Very willing,4.0,Male,50,2.0,Full time employment,A fair amount of confidence,Somewhat badly,3.0,5.0,7.0,5.0,0,5.0,1.0,5.0,1.0,5.0,1.0,No,1
9952,2020-06-24 14:23:00,Washington DC,4,2.0,Yes,Neither easy nor difficult,Very willing,10.0,Male,38,4.0,Full time employment,Not very much confidence,Very badly,5.0,4.0,6.0,7.0,1,5.0,1.0,5.0,1.0,5.0,1.0,Yes,1
9953,2020-06-24 14:24:00,Washington,300,1.0,Yes,Very easy,Somewhat willing,4.0,Male,60,2.0,Retired,A fair amount of confidence,Somewhat well,2.0,2.0,6.0,2.0,0,1.0,0.0,4.0,1.0,4.0,1.0,No,1
9954,2020-06-24 14:24:00,Georgia,20,2.0,No,Neither easy nor difficult,Somewhat willing,10.0,Male,32,1.0,Unemployed,No confidence at all,Very badly,6.0,5.0,5.0,5.0,0,4.0,1.0,4.0,1.0,4.0,1.0,No,1
9955,2020-06-24 14:24:00,California,7,2.0,Yes,Somewhat easy,Very willing,18.0,Male,47,1.0,Unemployed,Not very much confidence,Very badly,3.0,5.0,7.0,7.0,1,5.0,1.0,4.0,1.0,4.0,1.0,Yes,1
9956,2020-06-24 14:24:00,Nevada,0,0.0,Yes,Very easy,Very willing,10.0,Female,59,1.0,Retired,No confidence at all,Very badly,7.0,6.0,4.0,6.0,0,5.0,1.0,5.0,1.0,5.0,1.0,Yes,1
