model,country,mandate_period,mandate_period_label,task_type,outcome,task_name,task_label,feature,importance,rank
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Non-Mask Protective Behavior Score,0.15340487484510812,1
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: New South Wales,0.1417046168403445,2
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Age,0.1052189778596273,3
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Week,0.0908374065760093,4
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Physical contact count (with stranger),0.07078575711767066,5
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,COVID Severity,0.060857603249441033,6
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,COVID Infection Risk,0.05910555909560878,7
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Household Size,0.031722682793179476,8
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Is a male?,0.013504388958756742,9
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Comorbidity: Yes,0.012458099755586531,10
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Confidence in the government: High,0.012200873737348157,11
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Gov Response: Somewhat Good,0.011537128168199547,12
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Isolation Willingness: Very Willing,0.01124635155666481,13
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: Queensland,0.010809842899139777,14
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Gov Response: Very Good,0.010258458192520126,15
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Employment: Part Time,0.010023564931831971,16
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Symptom Isolation: Yes,0.009745849458843617,17
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: South Australia,0.009696013345962809,18
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Anxiety: Several Days,0.009181288165810203,19
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Comorbidity: No,0.009091915721127459,20
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Low Interest: Several Days,0.008528206536354787,21
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Employment: Not Working,0.008229556888884007,22
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Employment: Retired,0.008117595029526466,23
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Low Interest: Not At All,0.008056382857672935,24
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Worry: Several Days,0.00784472021758505,25
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Depressed: Not At All,0.007770400487150427,26
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Symptom Isolation: No,0.007723299322122567,27
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Worry: Not At All,0.007717607151289226,28
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Depressed: Several Days,0.007550823483051328,29
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Anxiety: Not At All,0.007539426725010075,30
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: Western Australia,0.007460909822256863,31
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Isolation Willingness: Somewhat Willing,0.006996610928092532,32
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Employment: Unemployed,0.005996289508060854,33
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Gov Response: Somewhat Bad,0.005651353848994315,34
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Confidence in the government: Low,0.005327404565912374,35
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Worry: Daily,0.004342867344040118,36
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Anxiety: Daily,0.004233897186841782,37
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: Tasmania,0.00410849197183419,38
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Symptom Isolation: Unsure,0.0037106203258526877,39
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Low Interest: Daily,0.0036999509379664047,40
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Depressed: Daily,0.003531233634728661,41
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Isolation Willingness: Neutral,0.003078958585535035,42
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Depressed: N/A,0.0028296484588059842,43
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Worry: N/A,0.002785403518122333,44
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Gov Response: Very Bad,0.0025419732069958917,45
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Low Interest: N/A,0.002436617803766137,46
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Anxiety: N/A,0.002424287276433823,47
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: Victoria,0.001885687691283726,48
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Confidence in the government: Unknown,0.0009640561016628482,49
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Confidence in the government: None,0.0008655235202781789,50
Random Forest,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Isolation Willingness: Somewhat Unwilling,0.0006027887508969537,51
