model,country,mandate_period,mandate_period_label,task_type,outcome,task_name,task_label,feature,importance,rank
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: New South Wales,0.19667605,1
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Non-Mask Protective Behavior Score,0.09905178,2
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: Tasmania,0.040646218,3
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: Northern Territory,0.029521301,4
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: Western Australia,0.026742058,5
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: South Australia,0.021455301,6
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Employment: Not Working,0.019379647,7
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Week,0.017504264,8
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,COVID Severity,0.017117025,9
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Low Interest: Prefer Not Say,0.01711662,10
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,State: Queensland,0.01706788,11
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,COVID Infection Risk,0.016851783,12
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Symptom Isolation: No,0.014264042,13
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Age,0.013746912,14
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Comorbidity: Yes,0.013122933,15
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Physical contact count (with stranger),0.013087817,16
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Employment: Retired,0.01277205,17
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,Symptom Isolation: Unsure,0.012708081,18
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Depressed: N/A,0.012565464,19
XGBoost,Australia,before_mandate,Before mandate,mask,Face mask wearing,Australia_before_mandate_mask,Australia - Before mandate - Face mask wearing,PHQ Depressed: Prefer Not Say,0.012279873,20
